Date,Open,High,Low,Close,Adj Close,Volume,Name
01 January 2018,310,312.75,306.5,307.049988,299.568726,1725476,SBIN
02 January 2018,308.100006,308.850006,301.649994,302.899994,295.519836,1188380,SBIN
03 January 2018,304.899994,306.399994,302.149994,302.850006,295.471069,806325,SBIN
04 January 2018,304,309.899994,303,308.049988,300.544373,2863595,SBIN
05 January 2018,311,311.799988,305.600006,306.200012,298.739471,1897329,SBIN
08 January 2018,306.600006,309.299988,305,305.649994,298.20285,1043824,SBIN
09 January 2018,307,309.450012,303.450012,304.25,296.836975,1620111,SBIN
10 January 2018,304.100006,305.799988,300,301.049988,293.714935,911368,SBIN
11 January 2018,301.5,303.049988,300.100006,302,294.641785,746295,SBIN
12 January 2018,304.25,304.799988,300.600006,301.799988,294.446655,624189,SBIN
15 January 2018,303.200012,305.149994,301.549988,302.25,294.885681,1013072,SBIN
16 January 2018,302,303.399994,295.25,296.149994,288.934326,951637,SBIN
17 January 2018,295.200012,308,292.649994,306.350006,298.885803,4250423,SBIN
18 January 2018,314.149994,317.75,300.200012,302.75,295.373535,3848730,SBIN
19 January 2018,302.75,309.799988,302.450012,309.049988,301.519989,2100878,SBIN
22 January 2018,309.399994,309.399994,304,306.25,298.788239,1371793,SBIN
23 January 2018,306.25,319.950012,306.25,318,310.251953,2680572,SBIN
24 January 2018,317.799988,330.600006,316.100006,329.5,321.471741,4061533,SBIN
25 January 2018,333,334.799988,312,313.149994,305.520111,2511198,SBIN
29 January 2018,313.799988,318,310,311.100006,303.520081,1897912,SBIN
30 January 2018,311.049988,318.75,310.799988,312.850006,305.227417,1516354,SBIN
31 January 2018,313,316.450012,307.649994,312.75,305.129883,1593330,SBIN
01 February 2018,316.049988,317.450012,304.5,305.549988,298.105286,2992953,SBIN
02 February 2018,302,305.399994,295.049988,296.899994,289.666046,1746741,SBIN
05 February 2018,292.700012,300,289.799988,297.700012,290.446564,1100646,SBIN
06 February 2018,286,297.049988,283.100006,291.5,284.397644,7376854,SBIN
07 February 2018,295.600006,297.950012,290.100006,292.75,285.617188,1658643,SBIN
08 February 2018,293,308.049988,292.149994,301.450012,294.105194,1575362,SBIN
09 February 2018,297.950012,300.549988,295.049988,296.399994,289.178223,1480654,SBIN
12 February 2018,288,292.399994,285,288.5,281.470703,2614328,SBIN
14 February 2018,289,289.399994,275.799988,276.799988,270.055786,4035985,SBIN
15 February 2018,275,282,274.450012,278.850006,272.055847,2897772,SBIN
16 February 2018,280.049988,281.200012,270,271.75,265.128845,3887817,SBIN
19 February 2018,271.200012,271.75,256.600006,267.649994,261.128723,3120693,SBIN
20 February 2018,268.200012,273.950012,264.75,269.649994,263.079987,3655220,SBIN
21 February 2018,272,274,267.299988,273.100006,266.445923,2068366,SBIN
22 February 2018,271.600006,273.5,269.25,272.600006,265.95813,1232294,SBIN
23 February 2018,273.049988,277.350006,272.700012,276.100006,269.372864,1803816,SBIN
26 February 2018,280,280.399994,273.75,274.75,268.055725,1976330,SBIN
27 February 2018,273.950012,275.850006,266.100006,267.799988,261.275055,2343314,SBIN
28 February 2018,264.799988,270.399994,260.899994,268.75,262.201904,3090656,SBIN
01 March 2018,266.799988,270,261.299988,262.549988,256.152985,3299546,SBIN
05 March 2018,260.799988,268,258.75,263.799988,257.372528,1259416,SBIN
